Old URL,New URL,Status,Priority,Notes
https://www.pineapplecontractors.com/,https://pineappleroofingllc.com/,LIVE,1,Replace homepage design at existing destination
https://www.pineapplecontractors.com/about/,https://pineappleroofingllc.com/about/,BUILD,2,Publish generated About page before redirect
https://www.pineapplecontractors.com/insurance-claims/,https://pineappleroofingllc.com/roof-insurance-claims-help-in-dfw-pineapple-contractors/,LIVE,1,Replace content at existing destination
https://www.pineapplecontractors.com/financing/,https://pineappleroofingllc.com/roof-financing-in-dfw-full-restoration-coverage-pineapple-contractors/,LIVE,1,Replace content at existing destination
https://www.pineapplecontractors.com/reviews/,https://pineappleroofingllc.com/reviews/,BUILD,2,Publish generated Reviews page with verified review content
https://www.pineapplecontractors.com/contact-us/,https://pineappleroofingllc.com/contact-pineapple-contractors-roofing-in-frisco-dfw-972-928-0788/,LIVE,1,Replace content at existing destination
https://www.pineapplecontractors.com/faq/,https://pineappleroofingllc.com/faq/,BUILD,2,Publish generated FAQ page before redirect
https://www.pineapplecontractors.com/roofing-services/residential-roofing/,https://pineappleroofingllc.com/services/residential-roofing-dfw/,BUILD,1,New residential roofing hub
https://www.pineapplecontractors.com/roofing-services/commercial-roofing/,https://pineappleroofingllc.com/services/commercial-roofing-dfw/,BUILD,1,New commercial roofing hub
https://www.pineapplecontractors.com/roofing-services/roof-installation/,https://pineappleroofingllc.com/services/roof-installation-dfw/,BUILD,1,New roof installation page
https://www.pineapplecontractors.com/roofing-services/leak-repair/,https://pineappleroofingllc.com/services/roof-repair-dallas-tx/,LIVE,1,Replace content at existing roof repair destination
https://www.pineapplecontractors.com/roofing-services/shingle-roofing/,https://pineappleroofingllc.com/services/shingle-roofing-dfw/,BUILD,2,New shingle roofing page
https://www.pineapplecontractors.com/roofing-services/tpo-roofing/,https://pineappleroofingllc.com/services/tpo-roofing-dfw/,BUILD,2,New TPO roofing page
https://www.pineapplecontractors.com/roofing-services/pvc-roofing/,https://pineappleroofingllc.com/services/pvc-roofing-dfw/,BUILD,2,New PVC roofing page
https://www.pineapplecontractors.com/roofing-services/commercial-roofing/metal-roofing/,https://pineappleroofingllc.com/services/metal-roofing-dfw/,BUILD,2,New metal roofing page
https://www.pineapplecontractors.com/roofing-services/commercial-roofing/tile-roofing/,https://pineappleroofingllc.com/services/tile-roofing-dfw/,BUILD,3,New tile roofing page
https://www.pineapplecontractors.com/roofing-services/commercial-roofing/slate-roofing/,https://pineappleroofingllc.com/services/slate-roofing-dfw/,BUILD,3,New slate roofing page
https://www.pineapplecontractors.com/roofing-services/residential-roofing/gutter-installation-repair/,https://pineappleroofingllc.com/services/gutter-installation-dallas-tx/,LIVE,2,Replace content at existing gutter destination
https://www.pineapplecontractors.com/roofing-services/residential-roofing/sheet-metal-services/,https://pineappleroofingllc.com/services/sheet-metal-services-dfw/,BUILD,2,New sheet metal page
https://www.pineapplecontractors.com/construction-services/emergency-roof-repairs/,https://pineappleroofingllc.com/services/storm-damage-repair-dallas-tx/,LIVE,1,Replace content at existing storm destination
https://www.pineapplecontractors.com/service-areas/collin-county-tx/frisco/,https://pineappleroofingllc.com/locations/frisco-tx/,BUILD,1,Priority city page
https://www.pineapplecontractors.com/service-areas/collin-county-tx/frisco/roof-replacement/,https://pineappleroofingllc.com/locations/frisco-tx/,BUILD,1,Consolidate city subpage into stronger city hub
https://www.pineapplecontractors.com/service-areas/collin-county-tx/plano/,https://pineappleroofingllc.com/locations/plano-tx/,BUILD,1,Priority city page
https://www.pineapplecontractors.com/service-areas/collin-county-tx/plano/roof-replacement/,https://pineappleroofingllc.com/locations/plano-tx/,BUILD,1,Consolidate city subpage into stronger city hub
https://www.pineapplecontractors.com/service-areas/collin-county-tx/mckinney/,https://pineappleroofingllc.com/locations/mckinney-tx/,BUILD,1,Priority city page
https://www.pineapplecontractors.com/service-areas/collin-county-tx/mckinney/roof-replacement/,https://pineappleroofingllc.com/locations/mckinney-tx/,BUILD,1,Consolidate city subpage into stronger city hub
https://www.pineapplecontractors.com/service-areas/collin-county-tx/allen/,https://pineappleroofingllc.com/locations/allen-tx/,BUILD,1,Priority city page and flat roofing opportunity
https://www.pineapplecontractors.com/service-areas/collin-county-tx/allen/roof-replacement/,https://pineappleroofingllc.com/locations/allen-tx/,BUILD,1,Consolidate city subpage into stronger city hub
https://www.pineapplecontractors.com/service-areas/denton-county-tx/lewisville/,https://pineappleroofingllc.com/locations/lewisville-tx/,BUILD,1,HQ city page
https://www.pineapplecontractors.com/service-areas/denton-county-tx/the-colony/,https://pineappleroofingllc.com/locations/the-colony-tx/,BUILD,1,City page
https://www.pineapplecontractors.com/service-areas/denton-county-tx/flower-mound/,https://pineappleroofingllc.com/locations/flower-mound-tx/,BUILD,1,City page
https://www.pineapplecontractors.com/service-areas/denton-county-tx/denton/,https://pineappleroofingllc.com/locations/denton-tx/,BUILD,2,City page
https://www.pineapplecontractors.com/service-areas/denton-county-tx/little-elm/,https://pineappleroofingllc.com/locations/little-elm-tx/,BUILD,2,City page
https://www.pineapplecontractors.com/service-areas/tarrant-county-tx/fort-worth/,https://pineappleroofingllc.com/locations/fort-worth-tx/,BUILD,1,Major city page
https://www.pineapplecontractors.com/service-areas/tarrant-county-tx/arlington/,https://pineappleroofingllc.com/locations/arlington-tx/,BUILD,1,Major city page
https://www.pineapplecontractors.com/service-areas/dallas-county-tx/dallas/,https://pineappleroofingllc.com/locations/dallas-tx/,BUILD,1,Major city page
https://www.pineapplecontractors.com/service-areas/dallas-county-tx/irving/,https://pineappleroofingllc.com/locations/irving-tx/,BUILD,1,City page

